UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,StockNumber,ItemName,Category,Description,Branch,UnitOfIssue,UnitPrice,MaxQtyPerRequest,LeadTimeDays,ApprovedVendors,Reference,Active,FSC,NIIN
EB3869DC02D3BAEE1521DEB750626287,97E,,06/26/2011 17:29:54,12/20/2016 11:44:59,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,8345-00-996-7721,"Flag, Distinguishing, Division Headquarters, 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Division Headquarters, 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,410.67,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,00-996-7721
638956229BBB27D186E60EB00DF94C12,982,,11/02/2011 08:19:13,06/06/2016 11:13:28,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,8345-01-702-7997,"Flag, Distinguishing, Brigade Combat Team Headquarters, 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Brigade Combat Team Headquarters, 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,277.28,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,01-702-7997
AF062F485ABA2E2138A6219A5F5D54D9,986,,10/13/2009 10:26:29,05/18/2021 13:37:14,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,8345-01-146-1107,"Flag, Distinguishing, Separate Brigade, 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Separate Brigade, 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,402.93,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,01-146-1107
59B18A617E2057DF6A6F2AAAD9174BCC,98A,,01/19/2006 11:25:59,10/21/2012 07:43:59,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,8345-01-807-9899,"Flag, Distinguishing, Battalion Headquarters (Infantry), 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Battalion Headquarters (Infantry), 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,302.23,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,01-807-9899
844AD65C22D24EE2D9849050F9FFFBE3,98E,,03/21/2011 12:04:08,06/22/2015 10:15:18,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,8345-00-642-7289,"Flag, Distinguishing, Battalion Headquarters (Armor), 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Battalion Headquarters (Armor), 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,406.10,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,00-642-7289
3774836E7EEC94C7A27D54DDDDC86E3F,992,,05/10/2011 15:35:48,12/25/2019 09:20:54,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,8345-00-514-1071,"Flag, Distinguishing, Battalion Headquarters (Field Artillery), 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Battalion Headquarters (Field Artillery), 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,248.52,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,00-514-1071
15F95EA7527A1641F6A274F1C33F8FBD,996,,05/07/2004 12:29:41,11/14/2005 08:06:26,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,8345-00-706-9345,"Flag, Distinguishing, Battalion Headquarters (Aviation), 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Battalion Headquarters (Aviation), 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,197.93,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,00-706-9345
D29691B000402504B61097D4C567B434,99A,,12/13/2007 07:02:16,10/31/2015 15:19:31,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,8345-00-571-3479,"Flag, Distinguishing, Battalion Headquarters (Engineer), 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Battalion Headquarters (Engineer), 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,291.07,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,00-571-3479
147E9685B03EB557DD881B674F9B8CEC,99E,,06/19/2004 07:54:24,12/23/2007 16:00:45,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,8345-00-458-4744,"Flag, Distinguishing, Battalion Headquarters (Signal), 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Battalion Headquarters (Signal), 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,204.75,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,00-458-4744
E149459C4EEC03524B470A68C5070B2F,9A2,,04/11/2006 16:31:34,05/15/2024 07:32:23,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,8345-01-996-9466,"Flag, Distinguishing, Battalion Headquarters (Sustainment), 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Battalion Headquarters (Sustainment), 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,334.73,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,01-996-9466
7EE2DA7A8AAC3E3721BB6B0D10C102E4,9A6,,09/20/2012 08:18:31,06/04/2014 16:43:26,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,8345-01-155-1875,"Flag, Distinguishing, Battalion Headquarters (Military Police), 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Battalion Headquarters (Military Police), 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,187.42,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,01-155-1875
E51A025F793F9D88834D50358D549670,9AA,,03/24/2004 14:33:27,03/15/2022 09:03:38,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,8345-00-772-6102,"Flag, Distinguishing, Army Service Component Command, 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Army Service Component Command, 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,263.39,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,00-772-6102
F4DCA3DADE17FE784CA504DA5F35A08D,9AE,,08/08/2005 07:43:08,06/29/2007 08:50:42,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,8345-00-646-7594,"Flag, Distinguishing, Direct Reporting Unit, 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Direct Reporting Unit, 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,229.44,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,00-646-7594
3F50CE7AC6C86FB014DE35FD499AB6C1,9B2,,06/27/2007 07:50:57,05/31/2018 11:25:59,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,8345-00-137-4639,"Flag, Distinguishing, Army Command Headquarters, 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Army Command Headquarters, 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,257.23,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,00-137-4639
0755592769C04A53398ED68654DDFB52,9B6,,10/18/2012 07:18:40,04/11/2024 11:20:36,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,8345-00-144-4967,"Flag, Distinguishing, Training Center, 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Training Center, 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,371.46,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,00-144-4967
0936155225262179F99F82A9314D5544,9BA,,12/23/2012 08:13:20,03/01/2015 08:48:32,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,8345-00-445-8325,"Flag, Distinguishing, Army Medical Center, 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Army Medical Center, 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,249.90,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,00-445-8325
F0F4EF764DA7DC5A457B8E2D4B80DE28,9BE,,07/16/2012 15:08:58,05/08/2019 11:56:57,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,8345-01-952-3720,"Flag, Distinguishing, Army Depot, 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Army Depot, 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,312.37,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,01-952-3720
30C8FDE7373B56BCB42C509EB609E63B,9C2,,12/11/2006 15:20:08,06/25/2026 10:05:04,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,8345-00-354-9165,"Flag, Distinguishing, Arsenal, 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Arsenal, 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,355.86,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,00-354-9165
8966670C34B107CA741605FA373A9446,9C6,,04/14/2012 11:08:02,07/20/2013 11:56:12,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,8345-00-703-3355,"Flag, Distinguishing, Army Reserve Readiness Division, 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Army Reserve Readiness Division, 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,356.83,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,No,8345,00-703-3355
37C3D0BA7A5C421874249D2F4161BEF7,9CA,,04/24/2005 11:21:36,05/16/2023 07:04:30,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,8345-00-567-5736,"Color, Organizational, Infantry Regiment, 3 ft x 4 ft, embroidered",Organizational Colors,"Color, Organizational, Infantry Regiment, 3 ft x 4 ft, embroidered; per AR 840-10; heraldic specification TIOH.",Army,EA,1243.39,1,120,1CLR7;0PLE4;4TRD6;2MDW7,AR 840-10,Yes,8345,00-567-5736
33076CD8D65C6272CBBA96094BA8E8F7,9CE,,01/04/2005 17:04:11,12/16/2025 13:53:21,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,8345-01-698-6876,"Color, Organizational, Armor Regiment, 3 ft x 4 ft, embroidered",Organizational Colors,"Color, Organizational, Armor Regiment, 3 ft x 4 ft, embroidered; per AR 840-10; heraldic specification TIOH.",Army,EA,1308.03,1,120,1CLR7;0PLE4;4TRD6;2MDW7,AR 840-10,Yes,8345,01-698-6876
02466A3A5E0FADB7424BF2DD34AF046E,9D2,,01/03/2010 11:47:18,05/03/2014 07:18:46,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,8345-00-717-2145,"Color, Organizational, Cavalry Regiment, 3 ft x 4 ft, embroidered",Organizational Colors,"Color, Organizational, Cavalry Regiment, 3 ft x 4 ft, embroidered; per AR 840-10; heraldic specification TIOH.",Army,EA,1015.33,1,120,1CLR7;0PLE4;4TRD6;2MDW7,AR 840-10,Yes,8345,00-717-2145
C93A6F0530ED5F3D036F78D5D6CD0F57,9D6,,01/02/2008 07:22:07,08/20/2020 16:33:19,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,8345-01-577-8437,"Color, Organizational, Field Artillery Regiment, 3 ft x 4 ft, embroidered",Organizational Colors,"Color, Organizational, Field Artillery Regiment, 3 ft x 4 ft, embroidered; per AR 840-10; heraldic specification TIOH.",Army,EA,1955.07,1,120,1CLR7;0PLE4;4TRD6;2MDW7,AR 840-10,Yes,8345,01-577-8437
2A61E065E43C84188A0F9BB2C4A2085B,9DA,,04/28/2007 15:08:10,10/30/2014 13:03:14,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,8345-01-904-7619,"Color, Organizational, Air Defense Artillery Regiment, 3 ft x 4 ft, embroidered",Organizational Colors,"Color, Organizational, Air Defense Artillery Regiment, 3 ft x 4 ft, embroidered; per AR 840-10; heraldic specification TIOH.",Army,EA,2146.22,1,120,1CLR7;0PLE4;4TRD6;2MDW7,AR 840-10,Yes,8345,01-904-7619
1D17ED6FDF46E0D4860428080AAEBA5B,9DE,,08/10/2004 14:56:23,06/25/2025 12:56:10,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,8345-00-967-4577,"Color, Organizational, Aviation Regiment, 3 ft x 4 ft, embroidered",Organizational Colors,"Color, Organizational, Aviation Regiment, 3 ft x 4 ft, embroidered; per AR 840-10; heraldic specification TIOH.",Army,EA,1534.63,1,120,1CLR7;0PLE4;4TRD6;2MDW7,AR 840-10,Yes,8345,00-967-4577
EE673270ED07949FD793B56A30BE2667,9E2,,05/18/2011 14:24:17,07/23/2025 14:45:22,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,8345-01-524-1061,"Color, Organizational, Engineer Battalion, 3 ft x 4 ft, embroidered",Organizational Colors,"Color, Organizational, Engineer Battalion, 3 ft x 4 ft, embroidered; per AR 840-10; heraldic specification TIOH.",Army,EA,1710.44,1,120,1CLR7;0PLE4;4TRD6;2MDW7,AR 840-10,Yes,8345,01-524-1061
A5F46ACA762E1D437D70B90256FF0249,9E6,,10/19/2005 16:28:52,02/19/2007 12:29:15,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,8345-00-916-5301,"Color, Organizational, Signal Battalion, 3 ft x 4 ft, embroidered",Organizational Colors,"Color, Organizational, Signal Battalion, 3 ft x 4 ft, embroidered; per AR 840-10; heraldic specification TIOH.",Army,EA,1959.54,1,120,1CLR7;0PLE4;4TRD6;2MDW7,AR 840-10,Yes,8345,00-916-5301
A06F01213CA5EE5A4153E21940A1784C,9EA,,01/21/2008 07:32:25,03/04/2026 12:44:13,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,8345-00-457-8004,"Color, Organizational, Military Police Battalion, 3 ft x 4 ft, embroidered",Organizational Colors,"Color, Organizational, Military Police Battalion, 3 ft x 4 ft, embroidered; per AR 840-10; heraldic specification TIOH.",Army,EA,1789.91,1,120,1CLR7;0PLE4;4TRD6;2MDW7,AR 840-10,Yes,8345,00-457-8004
912A53FB7C21F14A06BE94DF3DB15187,9EE,,09/06/2005 11:27:32,08/02/2006 11:41:24,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,8345-00-333-8230,"Color, Organizational, Medical Battalion, 3 ft x 4 ft, embroidered",Organizational Colors,"Color, Organizational, Medical Battalion, 3 ft x 4 ft, embroidered; per AR 840-10; heraldic specification TIOH.",Army,EA,2287.26,1,120,1CLR7;0PLE4;4TRD6;2MDW7,AR 840-10,Yes,8345,00-333-8230
BF6AEB0C33C55CA84F661E53092BA617,9F2,,08/30/2011 09:57:39,01/04/2014 08:43:47,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,8345-01-576-1393,"Color, Organizational, Ordnance Battalion, 3 ft x 4 ft, embroidered",Organizational Colors,"Color, Organizational, Ordnance Battalion, 3 ft x 4 ft, embroidered; per AR 840-10; heraldic specification TIOH.",Army,EA,2069.12,1,120,1CLR7;0PLE4;4TRD6;2MDW7,AR 840-10,Yes,8345,01-576-1393
18DA93C2C98695F7DE57F6A8299BB3D4,9F6,,04/03/2007 15:50:28,11/24/2017 12:52:51,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,8345-00-540-2605,"Color, Organizational, Quartermaster Battalion, 3 ft x 4 ft, embroidered",Organizational Colors,"Color, Organizational, Quartermaster Battalion, 3 ft x 4 ft, embroidered; per AR 840-10; heraldic specification TIOH.",Army,EA,1498.90,1,120,1CLR7;0PLE4;4TRD6;2MDW7,AR 840-10,No,8345,00-540-2605
87757369AAFE6C3D90ECFBDDFF1FEA58,9FA,,05/13/2007 14:04:15,03/01/2009 16:01:41,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,8345-00-323-9139,"Color, Organizational, Transportation Battalion, 3 ft x 4 ft, embroidered",Organizational Colors,"Color, Organizational, Transportation Battalion, 3 ft x 4 ft, embroidered; per AR 840-10; heraldic specification TIOH.",Army,EA,1704.90,1,120,1CLR7;0PLE4;4TRD6;2MDW7,AR 840-10,Yes,8345,00-323-9139
9EFC0B2BB067579FC339A0CCDDEAE768,9FE,,01/03/2009 15:00:44,04/05/2009 08:55:10,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,8345-01-403-8855,"Color, Organizational, Special Forces Group, 3 ft x 4 ft, embroidered",Organizational Colors,"Color, Organizational, Special Forces Group, 3 ft x 4 ft, embroidered; per AR 840-10; heraldic specification TIOH.",Army,EA,1644.12,1,120,1CLR7;0PLE4;4TRD6;2MDW7,AR 840-10,Yes,8345,01-403-8855
